iter	Passed	Remaining
0	159	71831
1	162	36389
2	164	24558
3	167	18643
4	169	15090
5	171	12674
6	173	10957
7	175	9697
8	177	8713
9	180	7928
10	182	7283
11	184	6752
12	187	6301
13	189	5911
14	192	5574
15	194	5277
16	197	5017
17	199	4787
18	201	4579
19	204	4396
20	206	4212
21	208	4056
22	210	3915
23	213	3785
24	215	3665
25	218	3556
26	220	3454
27	222	3360
28	225	3270
29	227	3186
30	230	3108
31	232	3034
32	234	2965
33	237	2900
34	239	2838
35	241	2779
36	244	2723
37	245	2664
38	247	2607
39	249	2560
40	252	2515
41	254	2472
42	256	2432
43	259	2392
44	261	2355
45	264	2319
46	266	2285
47	268	2251
48	271	2219
49	273	2188
50	275	2158
51	278	2130
52	280	2102
53	283	2075
54	285	2050
55	287	2024
56	290	2000
57	292	1976
58	293	1947
59	296	1925
60	298	1905
61	301	1885
62	303	1865
63	306	1845
64	308	1827
65	311	1809
66	313	1792
67	315	1775
68	318	1758
69	320	1742
70	323	1726
71	326	1711
72	328	1697
73	331	1682
74	333	1668
75	336	1654
76	338	1640
77	341	1628
78	343	1613
79	345	1600
80	348	1587
81	350	1574
82	353	1562
83	355	1550
84	358	1538
85	360	1527
86	363	1515
87	365	1504
88	368	1493
89	370	1482
90	373	1472
91	375	1462
92	378	1452
93	380	1441
94	383	1432
95	385	1422
96	388	1412
97	390	1403
98	393	1394
99	395	1385
100	398	1376
101	400	1367
102	403	1359
103	405	1350
104	408	1341
105	410	1332
106	413	1324
107	415	1316
108	418	1307
109	420	1299
110	422	1291
111	425	1283
112	427	1275
113	430	1268
114	432	1260
115	435	1253
116	437	1245
117	440	1237
118	442	1230
119	444	1223
120	447	1216
121	449	1209
122	452	1202
123	454	1195
124	457	1188
125	459	1182
126	462	1175
127	464	1168
128	467	1162
129	469	1155
130	471	1149
131	474	1142
132	477	1137
133	479	1131
134	482	1125
135	484	1118
136	487	1113
137	489	1107
138	492	1101
139	494	1095
140	497	1089
141	499	1083
142	502	1077
143	504	1072
144	507	1066
145	509	1060
146	512	1055
147	514	1049
148	516	1044
149	519	1038
150	521	1033
151	524	1027
152	526	1022
153	529	1016
154	531	1011
155	534	1006
156	536	1001
157	539	996
158	541	990
159	543	985
160	546	980
161	548	975
162	551	971
163	555	968
164	558	964
165	561	959
166	564	955
167	566	951
168	569	946
169	571	941
170	574	936
171	576	931
172	579	927
173	581	922
174	583	917
175	586	913
176	588	908
177	591	904
178	594	899
179	596	895
180	599	891
181	602	886
182	604	882
183	607	877
184	609	873
185	612	868
186	614	864
187	616	859
188	619	855
189	621	850
190	624	846
191	626	841
192	628	837
193	631	833
194	633	828
195	636	824
196	638	820
197	641	815
198	643	811
199	645	807
200	648	803
201	650	799
202	653	794
203	655	790
