iter	Logloss
0	0.6720011761
1	0.6530046658
2	0.6349608163
3	0.6195007493
4	0.6047746168
5	0.5894795533
6	0.5769155227
7	0.5648952014
8	0.5543997357
9	0.5455115189
10	0.5369656516
11	0.5281948403
12	0.5194330431
13	0.511442427
14	0.5043880548
15	0.4975542549
16	0.4916499642
17	0.4865439291
18	0.4808926533
19	0.4760598617
20	0.4713765583
21	0.4674305257
22	0.4632144436
23	0.4597672605
24	0.456450595
25	0.4530175862
26	0.4500880341
27	0.4471944353
28	0.4444194507
29	0.4418896956
30	0.4396601086
31	0.4374539272
32	0.4354330278
33	0.4338051187
34	0.4321364155
35	0.4305054401
36	0.428847714
37	0.4269358566
38	0.42538981
39	0.4239427817
40	0.4224363668
41	0.4209235359
42	0.4196808172
43	0.4183975301
44	0.4171592117
45	0.4162392492
46	0.4152311566
47	0.4142268707
48	0.4132170764
49	0.4120699665
50	0.4110500253
51	0.4102035725
52	0.409272295
53	0.4085067865
54	0.4078373946
55	0.4069746195
56	0.4062490375
57	0.4053692324
58	0.4047534688
59	0.4041401732
60	0.4035855441
61	0.4030138408
62	0.4023414873
63	0.4017123159
64	0.4009865364
65	0.4003743529
66	0.3998944688
67	0.3992352954
68	0.3986364229
69	0.3981694154
70	0.3977446202
71	0.3972905258
72	0.3967576322
73	0.3962007582
74	0.3957413622
75	0.3952486158
76	0.3948118087
77	0.3944469148
78	0.3939046081
79	0.3934936873
80	0.3932564527
81	0.392777721
82	0.3922961224
83	0.3919319092
84	0.3913064242
85	0.3908684086
86	0.3905791004
87	0.3902866689
88	0.390009766
89	0.3896585936
90	0.3893155092
91	0.3889258633
92	0.3886361169
93	0.388372428
94	0.3880121458
95	0.3877089612
96	0.3873608047
97	0.3868630899
98	0.3865765087
99	0.3862174133
100	0.3858576914
101	0.3855704855
102	0.3851721428
103	0.3848403578
104	0.3844457569
105	0.3843076665
106	0.3839976606
107	0.3836861479
108	0.3833154165
109	0.3831217247
110	0.3829824585
111	0.38280221
112	0.3824179262
113	0.3822483873
114	0.3819385956
115	0.3817184326
116	0.3813176663
117	0.3809983373
118	0.3808031022
119	0.3805357177
120	0.3803392724
121	0.3800183997
122	0.3798846062
123	0.3795297975
124	0.3792774983
125	0.3790966378
126	0.3788326385
127	0.3785770948
128	0.3782875221
129	0.3780412961
130	0.3779392057
131	0.3777452001
132	0.3775008097
133	0.3772575722
134	0.3769533748
135	0.3767935268
136	0.3764453044
137	0.3762288432
138	0.3760207958
139	0.3758412936
140	0.375727724
141	0.3754235255
142	0.3751512146
143	0.3748785436
144	0.3745697106
145	0.3744744221
146	0.3742011643
147	0.3739182
148	0.3736995129
149	0.3734232864
150	0.3731404897
151	0.3729585961
152	0.3728872534
153	0.3725072018
154	0.3722336604
155	0.3719668238
156	0.3717353772
157	0.3715838743
158	0.3713554777
159	0.3710762628
160	0.370900553
161	0.3707605455
162	0.3703706752
163	0.370221375
164	0.369995636
165	0.3697333653
166	0.3695164363
167	0.3692230689
168	0.369120231
169	0.3686371429
170	0.3685136993
171	0.3683055687
172	0.3681127564
173	0.3678491702
174	0.3676678715
175	0.3675355778
176	0.3672208629
177	0.3669853691
178	0.3667287687
179	0.3665718002
180	0.3663295638
181	0.3662275167
182	0.3659085855
183	0.3656563344
184	0.3654121735
185	0.3652577045
186	0.3650183213
187	0.3648760109
188	0.3645706501
189	0.3643214791
190	0.3640666669
191	0.363951948
192	0.3636331305
193	0.3634591391
194	0.3632228761
195	0.3630044848
196	0.3628355581
197	0.3625775098
198	0.3623604393
199	0.3620874618
200	0.3619790072
201	0.3617833114
202	0.3616386113
203	0.3615728132
204	0.3612802224
205	0.3610070823
206	0.3608121937
207	0.3605479051
208	0.3603668279
209	0.3601974068
210	0.3600637353
211	0.3598209682
212	0.3596726409
213	0.3594053953
214	0.3590731064
215	0.3588356326
216	0.3586776156
217	0.3585459181
218	0.3583194374
219	0.3581311821
220	0.357910393
221	0.3578056129
222	0.3576230368
223	0.357368085
224	0.3572428713
225	0.3570599465
226	0.3569212418
227	0.3566564905
228	0.3563936008
229	0.3562636952
230	0.3560777635
231	0.3559245634
232	0.3557835096
233	0.3556094388
234	0.3554623596
235	0.3553497736
236	0.3551943854
237	0.3550893031
238	0.3548463586
239	0.3545546205
240	0.3542639008
241	0.3541917333
242	0.3540271074
243	0.3538018529
244	0.3536541249
245	0.3535108378
246	0.3533767176
247	0.3531706227
248	0.3529627614
249	0.3528718674
250	0.3526923727
251	0.3525028442
252	0.3522947435
253	0.3521755335
254	0.35187188
255	0.3516274476
256	0.3514668275
257	0.3513263911
258	0.3510568302
259	0.3508675477
260	0.3506453849
261	0.3503973777
262	0.3502412812
263	0.3500852966
264	0.3498735381
265	0.3496991467
266	0.3495796837
267	0.3494083763
268	0.3492170852
269	0.3490384203
270	0.3488476488
271	0.3485343572
272	0.3483478676
273	0.3481998919
274	0.3481158512
275	0.3479759782
276	0.3477455133
277	0.3474637123
278	0.3472855545
279	0.3470802061
280	0.346873235
281	0.3466307873
282	0.3464176276
283	0.346068881
284	0.3459081421
285	0.3456713593
286	0.3454920996
287	0.3452523626
288	0.3449060433
289	0.3448117126
290	0.3445743702
291	0.344425494
292	0.3441264428
293	0.3439459897
294	0.3437442225
295	0.343521659
296	0.3433137442
297	0.3430818866
298	0.3427910558
299	0.3425970212
300	0.3423478633
301	0.3420915536
302	0.3419254784
303	0.3417067172
304	0.3415306829
305	0.3413746567
306	0.3412250825
307	0.3410418686
308	0.3408324888
309	0.3406843329
310	0.3403307354
311	0.3401875901
312	0.3399397295
313	0.3397903541
314	0.3395833869
315	0.3393421891
316	0.3391467706
317	0.3388579219
318	0.3386629501
319	0.338414798
320	0.3382299031
321	0.3380915336
322	0.3379075039
323	0.3375877873
324	0.3373998431
325	0.3372022732
326	0.3370467152
327	0.3369180223
328	0.3366345558
329	0.3364751539
330	0.3362894214
331	0.3360972133
332	0.3358514905
333	0.3357198432
334	0.3355313465
335	0.3353103573
336	0.3352229737
337	0.3350953602
338	0.334907461
339	0.3347054778
340	0.3345767688
341	0.3344156595
342	0.3342950004
343	0.3338802351
344	0.3337486339
345	0.3335772566
346	0.3332976307
347	0.3330935485
348	0.3329177171
349	0.3327202642
350	0.3323689846
351	0.3322297528
352	0.3320508321
353	0.3318923689
354	0.3316180577
355	0.3314611828
356	0.3313598489
357	0.3310729181
358	0.330930064
359	0.3308183229
360	0.3306554607
361	0.3304368203
362	0.330186511
363	0.3299731633
364	0.3296178482
365	0.3295168325
366	0.3292992074
367	0.3291584983
368	0.3290454616
369	0.3288089876
370	0.3286322846
371	0.3284107409
372	0.3282405808
373	0.3279546805
374	0.327763974
375	0.3276222871
376	0.3273566612
377	0.327162708
378	0.3268981915
379	0.3266937061
380	0.3264162813
381	0.3260984366
382	0.3258399755
383	0.3256352813
384	0.3254982327
385	0.3253153376
386	0.3251080835
387	0.3250023009
388	0.324810844
389	0.3245455386
390	0.3243334997
391	0.3241332566
392	0.3239999357
393	0.3238762696
394	0.3236199795
395	0.3234128343
396	0.323235534
397	0.3230778224
398	0.3228624819
399	0.3227289319
400	0.3224624253
401	0.3222172911
402	0.3218947114
403	0.3217227187
404	0.3215666758
405	0.3213143364
406	0.3210967538
407	0.320760853
408	0.3204447608
409	0.3203287232
410	0.3200812272
411	0.3199534895
412	0.3197863551
413	0.3196902
414	0.3195992293
415	0.319440552
416	0.3192486242
417	0.319130377
418	0.3189083755
419	0.3186805537
420	0.3185002442
421	0.3183435334
422	0.3180560671
423	0.317829118
424	0.3176141032
425	0.3175012392
426	0.3173913426
427	0.3171443474
428	0.3168606491
429	0.3166875685
430	0.3164516521
431	0.3162601365
432	0.3160652516
433	0.3159217079
434	0.315820307
435	0.3156043843
436	0.3154873649
437	0.3152821314
438	0.3150588814
439	0.3149034584
440	0.3148018557
441	0.3145850692
442	0.3143782432
443	0.3142333417
444	0.3140411193
445	0.3138812866
446	0.3136278591
447	0.3134043547
