iter	Passed	Remaining
0	2	1285
1	5	1238
2	8	1210
3	10	1177
4	12	1156
5	15	1143
6	18	1154
7	21	1166
8	23	1167
9	26	1166
10	29	1163
11	31	1162
12	35	1185
13	38	1190
14	41	1194
15	43	1192
16	46	1191
17	49	1187
18	53	1209
19	56	1208
20	59	1207
21	61	1205
22	64	1203
23	68	1211
24	71	1210
25	74	1208
26	76	1205
27	79	1201
28	82	1202
29	85	1200
30	88	1198
31	91	1193
32	94	1189
33	96	1181
34	100	1188
35	103	1188
36	106	1184
37	108	1181
38	111	1178
39	114	1178
40	118	1178
41	120	1175
42	123	1171
43	126	1167
44	129	1163
45	132	1162
46	135	1159
47	138	1156
48	140	1151
49	143	1148
50	146	1145
51	149	1143
52	152	1140
53	155	1136
54	157	1132
55	160	1129
56	163	1126
57	166	1125
58	169	1124
59	172	1121
60	175	1117
61	178	1114
62	181	1115
63	184	1114
64	187	1111
65	190	1108
66	193	1104
67	196	1101
68	199	1099
69	202	1096
70	204	1092
71	207	1089
72	210	1085
73	213	1083
74	216	1082
75	245	1209
76	248	1202
77	250	1196
78	253	1190
79	255	1183
80	258	1176
81	260	1171
82	263	1165
83	266	1159
84	268	1153
85	271	1147
86	273	1142
87	277	1142
88	280	1137
89	283	1132
90	285	1127
91	288	1121
92	290	1116
93	294	1114
94	297	1110
95	300	1106
96	302	1102
97	305	1098
98	308	1093
99	311	1090
100	314	1085
101	317	1081
102	319	1077
103	322	1072
104	325	1068
105	327	1064
106	330	1060
107	333	1055
108	335	1050
109	338	1046
110	341	1043
111	344	1039
112	347	1036
113	350	1032
114	353	1029
115	356	1025
116	360	1026
117	363	1023
118	366	1019
119	369	1015
120	372	1011
121	375	1008
122	378	1005
123	380	1001
124	383	997
125	386	993
126	389	989
127	392	986
128	394	982
129	397	978
130	400	975
131	403	971
132	406	969
133	409	965
134	412	962
135	415	958
136	417	954
137	420	950
138	424	950
139	427	946
140	430	942
141	432	939
142	435	935
143	439	933
144	441	929
145	444	926
146	447	922
147	450	918
148	453	915
149	456	912
150	459	909
151	461	905
152	464	901
153	467	898
154	470	895
155	473	891
156	476	888
157	478	884
158	481	881
159	484	877
160	487	874
161	490	871
162	493	868
163	495	864
164	498	861
165	501	857
166	504	855
167	507	852
168	510	849
169	513	845
170	516	842
171	519	840
172	522	836
173	525	833
174	528	830
175	530	826
176	533	823
177	537	820
178	539	817
179	542	813
180	545	810
181	548	806
182	551	804
183	554	801
184	557	798
185	560	795
186	562	791
187	565	788
188	568	785
189	571	782
190	574	778
191	577	775
192	579	772
193	582	769
194	585	765
195	588	762
196	591	759
197	594	756
198	596	752
199	599	749
200	602	746
201	605	743
202	608	740
203	610	736
204	613	732
205	616	730
206	619	726
207	621	723
208	624	720
209	627	717
210	630	714
211	633	711
212	636	707
213	638	704
214	641	701
215	644	697
216	647	695
217	664	707
218	667	704
219	670	700
