feature,importance_mean,importance_std
Contract,0.06550602908689244,0.009354361349462532
MonthlyCharges,0.03839561855670098,0.005596581375272075
Is_Fiber_Optic,0.035613724226804075,0.0048648124245873415
Tenure_Years,0.025249217599410855,0.004865387997251534
tenure,0.025249217599410855,0.004865387997251534
MonthlyCharge_Tenure_Ratio,0.018778994845360795,0.0027517217614884525
TotalCharges,0.01536312592047121,0.0030505688952676244
InternetService,0.006193391016200245,0.0017965559828799374
StreamingTV,0.004170655375552235,0.0013265258268049301
Service_Count,0.00394537002945502,0.0015979495607046153
PaperlessBilling,0.003248573269513955,0.0027188575895314864
TechSupport,0.0029284793814432384,0.0012162919570172129
OnlineSecurity,0.00226228829160523,0.00201226039496167
StreamingMovies,0.0021957842415316065,0.0019040788362345278
MultipleLines,0.0021028166421207086,0.0010209613763380908
PaymentMethod,0.000758928571428541,0.0012314231342191572
DeviceProtection,0.0007575478645066025,0.0006631481349878014
Charges_Per_Service,0.0006029086892488488,0.001096957432967376
Contract_Tenure_Interaction,0.000513162739322448,0.0009320567158186091
SeniorCitizen,0.00023633100147272268,0.0007731630358606374
Partner,0.00012311303387328997,6.537330967122182e-05
Paperless_AutoPay_Flag,7.685935198812333e-05,0.0009282185020118029
PhoneService,-3.267673048606978e-05,2.4042632339155146e-05
SeniorCitizen_AloneRisk,-6.098122238590298e-05,0.00013199318264949558
OnlineBackup,-6.94955817379106e-05,0.0013078560827706003
gender,-7.685935198828986e-05,0.0003073760830162145
Dependents,-0.00210120581737856,0.0013155429241501345
